Timestamp,Values
2025-07-20T01:42:33Z,28.7
2025-07-20T01:42:34Z,28.7
2025-07-20T01:42:35Z,28.7
2025-07-20T01:42:36Z,28.7
2025-07-20T01:42:37Z,28.7
2025-07-20T01:42:38Z,28.7
2025-07-20T01:42:39Z,28.7
2025-07-20T01:42:40Z,28.7
2025-07-20T01:42:41Z,28.7
2025-07-20T01:42:42Z,28.7
2025-07-20T01:42:43Z,28.7
2025-07-20T01:42:44Z,28.7
2025-07-20T01:42:45Z,28.7
2025-07-20T01:42:46Z,28.7
2025-07-20T01:42:47Z,28.7
2025-07-20T01:42:49Z,28.7
2025-07-20T01:42:50Z,28.7
2025-07-20T01:42:51Z,28.7
2025-07-20T01:42:52Z,28.7
2025-07-20T01:42:53Z,28.7
2025-07-20T01:42:54Z,28.7
2025-07-20T01:42:55Z,28.7
2025-07-20T01:42:56Z,28.7
2025-07-20T01:42:57Z,28.7
2025-07-20T01:42:58Z,28.7
2025-07-20T01:42:59Z,28.7
2025-07-20T01:43:00Z,28.7
2025-07-20T01:43:01Z,28.7
2025-07-20T01:43:02Z,28.7
2025-07-20T01:43:03Z,28.7
2025-07-20T01:43:04Z,28.7
2025-07-20T01:43:05Z,28.7
2025-07-20T01:43:06Z,28.7
2025-07-20T01:43:07Z,28.7
2025-07-20T01:43:08Z,28.7
2025-07-20T01:43:09Z,28.7
2025-07-20T01:43:10Z,28.7
2025-07-20T01:43:11Z,28.7
2025-07-20T01:43:12Z,28.7
2025-07-20T01:43:13Z,28.7
2025-07-20T01:43:14Z,28.7
2025-07-20T01:43:15Z,28.7
2025-07-20T01:43:16Z,28.7
2025-07-20T01:43:17Z,28.7
2025-07-20T01:43:18Z,28.7
2025-07-20T01:43:19Z,28.7
2025-07-20T01:43:20Z,28.7
2025-07-20T01:43:21Z,28.7
2025-07-20T01:43:22Z,28.7
2025-07-20T01:43:23Z,28.7
2025-07-20T01:43:24Z,28.7
2025-07-20T01:43:25Z,28.7
2025-07-20T01:43:26Z,28.7
2025-07-20T01:43:27Z,28.7
2025-07-20T01:43:28Z,28.7
2025-07-20T01:43:29Z,28.7
2025-07-20T01:43:30Z,28.7
2025-07-20T01:43:31Z,28.7
2025-07-20T01:43:32Z,28.7
2025-07-20T01:43:33Z,28.7
2025-07-20T01:43:34Z,28.7
2025-07-20T01:43:35Z,28.7
2025-07-20T01:43:36Z,28.7
2025-07-20T01:43:37Z,28.7
2025-07-20T01:43:38Z,28.7
2025-07-20T01:43:39Z,28.7
2025-07-20T01:43:40Z,28.7
2025-07-20T01:43:41Z,28.7
2025-07-20T01:43:42Z,28.7
2025-07-20T01:43:43Z,28.7
2025-07-20T01:43:44Z,28.7
2025-07-20T01:43:45Z,28.7
2025-07-20T01:43:46Z,28.7
2025-07-20T01:43:47Z,28.7
2025-07-20T01:43:48Z,28.7
2025-07-20T01:43:49Z,28.7
2025-07-20T01:43:50Z,28.7
2025-07-20T01:43:51Z,28.7
2025-07-20T01:43:52Z,28.7
2025-07-20T01:43:53Z,28.7
2025-07-20T01:43:54Z,28.7
2025-07-20T01:43:55Z,28.7
2025-07-20T01:43:56Z,28.7
2025-07-20T01:43:57Z,28.7
2025-07-20T01:43:58Z,28.7
2025-07-20T01:43:59Z,28.7
2025-07-20T01:44:00Z,28.7
2025-07-20T01:44:01Z,28.7
2025-07-20T01:44:02Z,28.7
2025-07-20T01:44:03Z,28.7
2025-07-20T01:44:04Z,28.7
2025-07-20T01:44:05Z,28.7
2025-07-20T01:44:06Z,28.7
2025-07-20T01:44:07Z,28.7
2025-07-20T01:44:08Z,28.7
2025-07-20T01:44:09Z,28.7
2025-07-20T01:44:10Z,28.7
2025-07-20T01:44:11Z,28.7
2025-07-20T01:44:12Z,28.7
2025-07-20T01:44:13Z,28.7
2025-07-20T01:44:14Z,28.7
2025-07-20T01:44:15Z,28.7
2025-07-20T01:44:16Z,28.7
2025-07-20T01:44:17Z,28.7
2025-07-20T01:44:18Z,28.7
2025-07-20T01:44:19Z,28.7
2025-07-20T01:44:20Z,28.7
2025-07-20T01:44:21Z,28.7
2025-07-20T01:44:22Z,28.7
2025-07-20T01:44:23Z,28.7
2025-07-20T01:44:24Z,28.7
2025-07-20T01:44:25Z,28.7
2025-07-20T01:44:26Z,28.7
2025-07-20T01:44:27Z,28.7
2025-07-20T01:44:28Z,28.7
2025-07-20T01:44:29Z,28.7
2025-07-20T01:44:30Z,28.7
2025-07-20T01:44:31Z,28.7
2025-07-20T01:44:32Z,28.7
2025-07-20T01:44:33Z,28.7
2025-07-20T01:44:34Z,28.7
2025-07-20T01:44:35Z,28.7
2025-07-20T01:44:36Z,28.7
2025-07-20T01:44:37Z,28.7
2025-07-20T01:44:38Z,28.7
2025-07-20T01:44:39Z,28.7
2025-07-20T01:44:40Z,28.7
2025-07-20T01:44:41Z,28.7
2025-07-20T01:44:42Z,28.7
2025-07-20T01:44:43Z,28.7
2025-07-20T01:44:44Z,28.7
2025-07-20T01:44:45Z,28.7
2025-07-20T01:44:46Z,28.7
2025-07-20T01:44:47Z,28.7
2025-07-20T01:44:48Z,28.7
2025-07-20T01:44:49Z,28.7
2025-07-20T01:44:50Z,28.7
